월,연도,원인,건수
3,2009,건축물화재,1
3,2009,기타,14
3,2010,입산자실화,5
3,2010,논밭두렁등소각,6
3,2010,쓰레기소각,7
3,2010,담뱃불실화,0
3,2010,성묘객실화,2
3,2010,어린이불장난,1
3,2010,건축물화재,1
3,2010,기타,0
3,2011,입산자실화,29
3,2011,논밭두렁등소각,23
3,2011,쓰레기소각,22
3,2011,담뱃불실화,6
3,2011,성묘객실화,1
3,2011,어린이불장난,1
3,2011,건축물화재,4
3,2011,기타,8
3,2012,입산자실화,5
3,2012,논밭두렁등소각,8
3,2012,쓰레기소각,2
3,2012,담뱃불실화,0
3,2012,성묘객실화,1
3,2012,어린이불장난,1
3,2012,건축물화재,4
3,2012,기타,2
3,2013,입산자실화,11
3,2013,논밭두렁등소각,43
3,2013,쓰레기소각,26
3,2013,담뱃불실화,10
3,2013,성묘객실화,5
3,2013,어린이불장난,2
3,2013,건축물화재,1
3,2013,기타,15
3,2014,입산자실화,26
3,2014,논밭두렁등소각,32
3,2014,쓰레기소각,17
3,2014,담뱃불실화,3
3,2014,성묘객실화,1
3,2014,어린이불장난,0
3,2014,건축물화재,1
3,2014,기타,21
3,2015,입산자실화,37
3,2015,논밭두렁등소각,60
3,2015,쓰레기소각,60
3,2015,담뱃불실화,10
3,2015,성묘객실화,7
3,2015,어린이불장난,1
3,2015,건축물화재,6
3,2015,기타,71
3,2016,입산자실화,18
3,2016,논밭두렁등소각,41
3,2016,쓰레기소각,28
3,2016,담뱃불실화,8
3,2016,성묘객실화,4
3,2016,어린이불장난,0
3,2016,건축물화재,0
3,2016,기타,17
3,2017,입산자실화,39
3,2017,논밭두렁등소각,51
3,2017,쓰레기소각,32
3,2017,담뱃불실화,7
3,2017,성묘객실화,9
3,2017,어린이불장난,1
3,2017,건축물화재,17
3,2017,기타,36
3,2018,입산자실화,10
3,2018,논밭두렁등소각,24
3,2018,쓰레기소각,13
3,2018,담뱃불실화,2
3,2018,성묘객실화,4
3,2018,어린이불장난,0
3,2018,건축물화재,11
3,2018,기타,19
3,2019,입산자실화,25
3,2019,논밭두렁등소각,25
3,2019,쓰레기소각,31
3,2019,담뱃불실화,3
3,2019,성묘객실화,2
3,2019,어린이불장난,0
3,2019,건축물화재,12
3,2019,기타,43
3,2020,입산자실화,54
3,2020,논밭두렁등소각,20
3,2020,쓰레기소각,31
3,2020,담뱃불실화,22
3,2020,성묘객실화,4
3,2020,어린이불장난,0
3,2020,건축물화재,15
3,2020,기타,25
3,2021,입산자실화,10
3,2021,논밭두렁등소각,11
3,2021,쓰레기소각,4
3,2021,담뱃불실화,6
3,2021,성묘객실화,3
3,2021,어린이불장난,0
3,2021,건축물화재,3
3,2021,기타,7
3,2022,입산자실화,20
3,2022,논밭두렁등소각,8
3,2022,쓰레기소각,6
3,2022,담뱃불실화,10
3,2022,성묘객실화,1
3,2022,건축물화재,6
3,2022,기타,31
3,2023,입산자실화,61
3,2023,논밭두렁등소각,25
3,2023,쓰레기소각,31
3,2023,담뱃불실화,24
3,2023,성묘객실화,7
3,2023,어린이불장난,0
3,2023,건축물화재,14
3,2023,기타,67
3,2024,입산자실화,6
3,2024,논밭두렁등소각,11
3,2024,쓰레기소각,14
3,2024,담뱃불실화,13
3,2024,성묘객실화,2
3,2024,어린이불장난,0
3,2024,건축물화재,6
3,2024,기타,22
3,2025,입산자실화,13
3,2025,논밭두렁등소각,13
3,2025,쓰레기소각,21
3,2025,담뱃불실화,12
3,2025,성묘객실화,11
3,2025,어린이불장난,0
3,2025,건축물화재,12
3,2025,기타,62
4,2006,입산자실화,24
4,2006,논밭두렁등소각,4
4,2006,쓰레기소각,6
4,2006,담뱃불실화,3
4,2006,성묘객실화,0
4,2006,어린이불장난,1
4,2006,건축물화재,1
4,2006,기타,10
4,2007,입산자실화,62
4,2007,논밭두렁등소각,17
4,2007,쓰레기소각,5
4,2007,담뱃불실화,4
4,2007,성묘객실화,12
4,2007,어린이불장난,0
4,2007,건축물화재,1
4,2007,기타,9
4,2008,입산자실화,35
4,2008,논밭두렁등소각,13
4,2008,쓰레기소각,13
4,2008,담뱃불실화,4
4,2008,성묘객실화,5
4,2008,어린이불장난,1
4,2008,건축물화재,2
4,2008,기타,6
4,2009,입산자실화,85
4,2009,논밭두렁등소각,28
4,2009,쓰레기소각,22
4,2009,담뱃불실화,13
4,2009,성묘객실화,16
4,2009,어린이불장난,1
4,2009,건축물화재,5
4,2009,기타,36
4,2010,입산자실화,12
4,2010,논밭두렁등소각,18
4,2010,쓰레기소각,8
4,2010,담뱃불실화,3
4,2010,성묘객실화,7
4,2010,어린이불장난,0
4,2010,건축물화재,1
4,2010,기타,2
4,2011,입산자실화,30
4,2011,논밭두렁등소각,27
4,2011,쓰레기소각,8
4,2011,담뱃불실화,0
4,2011,성묘객실화,5
4,2011,어린이불장난,1
4,2011,건축물화재,2
4,2011,기타,7
4,2012,입산자실화,18
4,2012,논밭두렁등소각,3
4,2012,쓰레기소각,6
4,2012,담뱃불실화,8
4,2012,성묘객실화,3
4,2012,어린이불장난,2
4,2012,건축물화재,1
4,2012,기타,4
4,2013,입산자실화,28
4,2013,논밭두렁등소각,14
4,2013,쓰레기소각,7
4,2013,담뱃불실화,5
4,2013,성묘객실화,3
4,2013,어린이불장난,0
4,2013,건축물화재,2
4,2013,기타,10
4,2014,입산자실화,85
4,2014,논밭두렁등소각,25
4,2014,쓰레기소각,19
4,2014,담뱃불실화,10
4,2014,성묘객실화,1
4,2014,어린이불장난,0
4,2014,건축물화재,4
4,2014,기타,22
4,2015,입산자실화,18
